campaign_id,campaign_name,platform,last_click_conversions,last_click_revenue,last_click_roas,attributed_conversions,attributed_revenue,attributed_roas,attributed_cpa,attributed_conversion_rate,conversion_lift_pct,revenue_lift_pct,roas_lift,total_spend
CAMP_0042,Festive Campaign - Organic Footwear - Sep2025,instagram,197,390920.78,4.44,176.19,349535.31,3.97,499.31,1.81,-10.56,-10.59,-0.47,87972.87
CAMP_0048,Influencer Collaboration - Sustainable Clothing - Oct2025,instagram,395,598767.36,5.35,207.76,328675.6,2.94,538.33,1.8,-47.4,-45.11,-2.41,111843.8
CAMP_0004,Festive Campaign - Green Living - Nov2025,facebook,163,327956.0,8.46,126.86,252260.97,6.5,305.79,2.78,-22.17,-23.08,-1.96,38791.34
CAMP_0005,Festive Campaign - Eco Accessories - Sep2025,facebook,62,74524.0,4.71,131.81,166192.29,10.48,120.34,5.63,112.6,123.01,5.77,15862.06
CAMP_0006,Influencer Collaboration - Sustainable Clothing - Sep2025,facebook,86,288530.0,11.24,118.81,372324.6,14.5,216.09,4.41,38.15,29.04,3.26,25673.23
CAMP_0008,Influencer Collaboration - Eco Accessories - Sep2025,facebook,75,65700.0,3.05,129.43,131249.73,6.1,166.25,3.5,72.57,99.77,3.05,21518.0
CAMP_0011,Influencer Collaboration - Sustainable Clothing - Oct2025,facebook,136,111520.0,3.12,121.67,117012.08,3.28,293.5,1.95,-10.54,4.92,0.16,35709.44
CAMP_0018,Influencer Collaboration - Green Living - Oct2025,facebook,232,317608.0,7.49,131.43,192910.45,4.55,322.56,1.77,-43.35,-39.26,-2.94,42393.88
CAMP_0019,Product Launch - Eco Accessories - Nov2025,facebook,133,286216.0,7.82,130.19,279368.26,7.63,281.41,3.09,-2.11,-2.39,-0.19,36636.44
CAMP_0021,Influencer Collaboration - Organic Footwear - Oct2025,facebook,114,104424.0,2.63,140.76,134657.84,3.38,282.81,3.66,23.48,28.95,0.75,39809.07
CAMP_0023,Product Launch - Sustainable Clothing - Oct2025,facebook,95,330980.0,12.31,132.67,446052.57,16.59,202.69,5.12,39.65,34.77,4.28,26889.92
CAMP_0024,Product Launch - Organic Footwear - Nov2025,facebook,73,108989.0,6.2,141.38,216146.19,12.29,124.39,5.83,93.67,98.32,6.09,17586.4
CAMP_0025,Influencer Collaboration - Sustainable Clothing - Oct2025,facebook,109,336810.0,16.85,139.38,422379.25,21.1,143.61,4.48,27.87,25.41,4.25,20017.02
CAMP_0027,Product Launch - Sustainable Clothing - Nov2025,facebook,117,184041.0,4.5,132.71,217195.86,5.31,308.03,3.27,13.43,18.01,0.81,40880.0
CAMP_0033,Product Launch - Eco Accessories - Oct2025,facebook,83,91798.0,4.01,134.14,166142.82,7.24,171.0,4.33,61.62,80.99,3.23,22937.77
CAMP_0036,Product Launch - Green Living - Nov2025,facebook,119,124609.21,3.14,124.95,140112.82,3.54,316.68,3.33,5.0,12.44,0.4,39570.34
CAMP_0037,Flash Sale - Eco Accessories - Nov2025,facebook,299,854841.0,11.85,153.24,413023.15,5.72,470.91,1.97,-48.75,-51.68,-6.13,72160.89
CAMP_0041,Festive Campaign - Sustainable Clothing - Nov2025,facebook,72,100656.0,3.88,152.62,220928.73,8.5,170.21,5.96,111.97,119.49,4.62,25977.66
CAMP_0044,Flash Sale - Organic Footwear - Nov2025,facebook,103,224746.0,4.18,152.33,328061.61,6.1,352.91,2.81,47.9,45.97,1.92,53760.0
CAMP_0045,Influencer Collaboration - Sustainable Clothing - Oct2025,facebook,357,445893.0,5.43,130.71,166402.75,2.03,627.76,0.92,-63.39,-62.68,-3.4,82056.55
CAMP_0046,Festive Campaign - Eco Accessories - Nov2025,facebook,154,385616.0,9.68,130.05,320826.45,8.05,306.32,3.22,-15.55,-16.8,-1.63,39835.77
CAMP_0047,Influencer Collaboration - Organic Footwear - Oct2025,facebook,212,566888.0,8.72,123.76,312297.56,4.8,525.44,1.22,-41.62,-44.91,-3.92,65029.62
CAMP_0049,Influencer Collaboration - Green Living - Sep2025,facebook,121,280962.0,8.31,139.81,327274.91,9.68,241.87,3.96,15.55,16.48,1.37,33815.16
CAMP_0050,Flash Sale - Sustainable Clothing - Nov2025,facebook,145,423255.0,7.88,113.95,317333.91,5.91,471.51,1.95,-21.41,-25.03,-1.97,53730.0
CAMP_0009,Brand Awareness - Green Living - Nov2025,google,113,211423.0,3.73,129.52,241715.32,4.26,437.7,2.64,14.62,14.33,0.53,56692.68
CAMP_0012,Festive Campaign - Organic Footwear - Nov2025,google,78,219152.75,10.29,136.29,340002.56,15.97,156.17,6.88,74.73,55.14,5.68,21283.6
CAMP_0013,Influencer Collaboration - Green Living - Oct2025,google,196,178360.0,2.08,137.71,164626.56,1.92,622.02,1.79,-29.74,-7.7,-0.16,85661.65
CAMP_0015,Festive Campaign - Eco Accessories - Nov2025,google,42,97692.0,3.95,136.86,299991.63,12.13,180.68,6.48,225.85,207.08,8.18,24727.26
CAMP_0016,Festive Campaign - Sustainable Clothing - Nov2025,google,156,156312.0,1.73,132.48,155261.83,1.72,681.97,2.06,-15.08,-0.67,-0.01,90345.22
CAMP_0022,Product Launch - Eco Accessories - Oct2025,google,41,95366.0,3.94,127.86,279877.41,11.55,189.6,7.87,211.85,193.48,7.61,24241.42
CAMP_0030,Product Launch - Sustainable Clothing - Nov2025,google,174,252171.75,3.22,130.9,197640.06,2.53,597.23,2.55,-24.77,-21.62,-0.69,78179.92
CAMP_0032,Flash Sale - Eco Accessories - Oct2025,google,222,731046.0,11.0,123.19,359867.43,5.41,539.72,2.02,-44.51,-50.77,-5.59,66488.16
CAMP_0034,Brand Awareness - Green Living - Sep2025,google,121,251438.0,3.49,134.0,275575.03,3.82,537.98,2.13,10.74,9.6,0.33,72089.98
CAMP_0038,Festive Campaign - Eco Accessories - Nov2025,google,26,65364.0,2.83,141.1,333890.33,14.46,163.63,11.07,442.67,410.82,11.63,23087.19
CAMP_0039,Flash Sale - Sustainable Clothing - Oct2025,google,42,122808.0,6.16,130.38,348544.42,17.46,153.07,9.28,210.43,183.81,11.3,19957.46
CAMP_0040,Product Launch - Sustainable Clothing - Nov2025,google,137,419083.0,8.24,141.24,391997.81,7.71,360.15,3.52,3.09,-6.46,-0.53,50867.36
CAMP_0043,Brand Awareness - Eco Accessories - Oct2025,google,168,523824.0,5.79,114.0,311066.94,3.44,794.15,1.44,-32.14,-40.62,-2.35,90533.02
