comment_id,post_id,user_handle,comment_text,timestamp
C_9051,POST_0002,user_759,4. Can't wait to rock these stylish pieces! 💃,2026-01-04 13:41:01
C_8357,POST_0004,user_527,5. Kya cool collection hai! ♻️,2026-01-04 13:41:01
C_5226,POST_0002,user_344,"6. Finally, trendy clothes that are good for the planet! 🌍",2026-01-04 13:41:01
C_7645,POST_0003,user_355,7. Loving the earth-friendly vibes. 🌿,2026-01-04 13:41:01
C_5300,POST_0001,user_637,8. Sustainable fashion is the way to go! 👏,2026-01-04 13:41:01
C_7529,POST_0002,user_968,9. Excited to support this eco-conscious brand. 🙌,2026-01-04 13:41:01
C_7050,POST_0004,user_974,10. Time to update my wardrobe with sustainable finds. 🛍,2026-01-04 13:41:01
C_8554,POST_0004,user_767,1. Website crashed during checkout 😡,2026-01-04 13:43:01
C_9568,POST_0001,user_866,2. Items arrived broken 😠,2026-01-04 13:43:01
C_5061,POST_0002,user_553,3. Shipping delayed without notice 🤬,2026-01-04 13:43:01
C_5899,POST_0002,user_571,4. Can't track package 😤,2026-01-04 13:43:01
C_9587,POST_0001,user_171,5. Customer service unreachable 🤯,2026-01-04 13:43:01
C_5603,POST_0004,user_353,1. OMG! 🌿 Sustainable fashion is everything! Love this! ♻️,2026-01-04 13:43:46
C_6212,POST_0004,user_528,2. Yasss! Finally a brand doing their part for the planet. 🌎,2026-01-04 13:43:46
C_7300,POST_0002,user_365,3. This collection is a dream come true. Can't wait to shop! 💚,2026-01-04 13:43:46
C_9769,POST_0002,user_584,4. Eeek! So excited for sustainable options. Thank you! 🙌,2026-01-04 13:43:46
C_6141,POST_0002,user_605,5. My eco-friendly heart is so happy right now. 💕🌱,2026-01-04 13:43:46
C_5465,POST_0001,user_870,6. Saving the Earth in style! Obsessed with this collection. 🌟,2026-01-04 13:43:46
C_7303,POST_0003,user_451,7. Sustainable fashion for the win! Loving all of it. 🌿💫,2026-01-04 13:43:46
C_5113,POST_0001,user_678,8. Time to upgrade my wardrobe with these eco-friendly pieces. 🛍️♻️,2026-01-04 13:43:46
C_7227,POST_0004,user_661,"9. Finally, a brand that gets it - sustainability is key! 🌍💖",2026-01-04 13:43:46
C_5912,POST_0001,user_434,10. My sustainability-loving heart can't handle the excitement. Obsessed! 🌸✨,2026-01-04 13:43:46
C_6030,POST_0004,user_534,"1. Omg, so excited for this sustainable collection launch! ♻️🌿 Love this!",2026-01-04 13:46:56
C_7722,POST_0003,user_400,"2. Finally, a brand that is thinking about the planet! 🌎🌟💚",2026-01-04 13:46:56
C_8447,POST_0002,user_132,3. Yasss! Can't wait to get my hands on these eco-friendly pieces! 🙌🌿♻️,2026-01-04 13:46:56
C_5249,POST_0004,user_929,4. Eco-chic is my new aesthetic now! 🌱✨👗,2026-01-04 13:46:56
C_9489,POST_0002,user_271,5. Sustainable fashion for the win! 🏆🍃💃,2026-01-04 13:46:56
C_5406,POST_0003,user_521,6. This collection gives me life! 🙏♻️💕,2026-01-04 13:46:56
C_7378,POST_0002,user_374,7. Thank you for making a difference in the fashion industry! 🙌🌸🌍,2026-01-04 13:46:56
C_9440,POST_0002,user_681,8. Counting down the days until I can shop this amazing collection! ⏳💚😍,2026-01-04 13:46:56
C_6595,POST_0001,user_593,9. My heart is so full knowing that sustainable fashion is becoming mainstream! 🥰♻️🌟,2026-01-04 13:46:56
C_6381,POST_0002,user_596,10. Literally screaming over this collection! 😱💚🌿,2026-01-04 13:46:56
C_9013,POST_0001,user_286,"1. OMG, sustainable fashion goals! 😍♻️ Love this!",2026-01-04 13:49:00
C_6831,POST_0002,user_705,2. We've been waiting for this! 🙌🏼 Finally! So good. ♻️💚,2026-01-04 13:49:00
C_9455,POST_0002,user_886,3. The collection is 🔥🔥🔥. So excited to shop! ♻️😍,2026-01-04 13:49:00
C_7157,POST_0002,user_651,4. This is a total game-changer! ♻️💫 Love this!,2026-01-04 13:49:00
C_7018,POST_0002,user_195,"5. It's about time! 🎉♻️ Finally, a sustainable collection we deserve!",2026-01-04 13:49:00
C_6837,POST_0002,user_336,6. Just in time for Earth Day! 🌎🌿 Love this! ♻️,2026-01-04 13:49:00
C_7915,POST_0004,user_301,7. Sustainable fashion never looked so good! 😍♻️ Finally!,2026-01-04 13:49:00
C_9725,POST_0001,user_904,8. A dream come true! 🌟♻️ Love this!,2026-01-04 13:49:00
C_8222,POST_0004,user_354,"9. My heart is so full! 🥰♻️ Finally, a sustainable collection!",2026-01-04 13:49:00
C_5216,POST_0004,user_381,10. This launch is everything! 💥♻️ Love this!,2026-01-04 13:49:00
C_8785,POST_0003,user_861,1. Love the eco-friendly fabrics used! 🌿,2026-01-04 14:00:02
C_9584,POST_0004,user_678,2. Sustainable fashion at its best! 👗♻️,2026-01-04 14:00:02
C_8961,POST_0001,user_864,3. Swadeshi brand with global appeal. 🇮🇳,2026-01-04 14:00:02
C_5274,POST_0003,user_671,4. Perfect balance of style and sustainability. 👌🌍,2026-01-04 14:00:02
C_7549,POST_0001,user_781,5. Proud to support such a conscious brand. 💚🙌,2026-01-04 14:00:02
C_8678,POST_0002,user_504,1. Love the organic cotton you use! ♻️,2026-01-04 15:00:01
C_9226,POST_0002,user_768,2. Sustainable fashion ftw! 🌿,2026-01-04 15:00:01
C_7361,POST_0001,user_173,3. Yeh kapde kitne comfy hain! 😍,2026-01-04 15:00:01
C_9034,POST_0004,user_609,4. Keep up the eco-friendly work! 🌎,2026-01-04 15:00:01
C_5810,POST_0001,user_344,5. I appreciate your commitment to ethical fashion. 👏,2026-01-04 15:00:01
C_8805,POST_0003,user_529,- Website crashed during checkout! 😡,2026-01-04 15:38:29
C_8543,POST_0001,user_453,- My item arrived broken. Unacceptable! 😠,2026-01-04 15:38:29
C_5923,POST_0001,user_712,- Shipping delayed again. Not impressed. 👎,2026-01-04 15:38:29
C_5713,POST_0001,user_389,- Can't access my account due to website crash. 😠,2026-01-04 15:38:29
C_9879,POST_0004,user_255,- Waiting months for my order. Unacceptable service. 😤,2026-01-04 15:38:29
C_8713,POST_0004,user_142,1. Love the vibrant colors in your collection! 🌈,2026-01-04 18:00:02
C_7272,POST_0003,user_729,2. Great to see eco-friendly options. Keep it up! ♻️,2026-01-04 18:00:02
C_5317,POST_0003,user_323,3. Can't wait to rock these sustainable threads. 🌿,2026-01-04 18:00:02
C_8709,POST_0001,user_173,4. Stylish and sustainable - a perfect combo! 👗,2026-01-04 18:00:02
C_9070,POST_0001,user_745,5. Your brand is making a positive impact. Kudos! 🌍,2026-01-04 18:00:02
C_7810,POST_0004,user_981,1. Website crashed during checkout 😡.,2026-01-04 19:36:49
C_7787,POST_0003,user_906,"2. Received broken items, no response from customer service 😠.",2026-01-04 19:36:49
C_8964,POST_0001,user_594,"3. Shipping delayed for weeks, missed important event 😤.",2026-01-04 19:36:49
C_7342,POST_0004,user_118,4. Can't access account due to repeated errors 😡.,2026-01-04 19:36:49
C_5387,POST_0002,user_386,"5. No updates on order status, frustrated with lack of communication 😠.",2026-01-04 19:36:49
C_5920,POST_0002,user_270,1. Love the sustainable options! ♻️,2026-01-05 20:00:04
C_5732,POST_0004,user_511,2. Yeh clothes kitne stylish hai! 😍,2026-01-05 20:00:04
C_7043,POST_0003,user_509,3. Ethical fashion ftw! 🌿,2026-01-05 20:00:04
C_6936,POST_0002,user_681,4. So happy to support eco-friendly brands. 💚,2026-01-05 20:00:04
C_5887,POST_0002,user_239,5. Wardrobe goals met with these pieces! 🌸,2026-01-05 20:00:04
C_8803,POST_0002,user_950,1. Love the eco-friendly vibes! 🌿,2026-01-05 21:00:02
C_7004,POST_0001,user_726,2. Sustainable fashion goals! 💚,2026-01-05 21:00:02
C_8814,POST_0004,user_401,3. Bahut stylish aur environment friendly clothes! 🌍,2026-01-05 21:00:02
C_5680,POST_0002,user_282,4. Perfect blend of fashion and sustainability. ♻️,2026-01-05 21:00:02
C_7636,POST_0001,user_884,5. So happy to support a brand making a difference. ❤️,2026-01-05 21:00:02
C_5120,POST_0002,user_282,"1. Website crashed, lost my order! Unacceptable 🤬",2026-01-05 21:51:08
C_6109,POST_0002,user_241,"2. Items arrived broken, poor packaging 👎",2026-01-05 21:51:08
C_8302,POST_0004,user_115,"3. Shipping delay, missed event, disappointed 😠",2026-01-05 21:51:08
C_8763,POST_0003,user_712,"4. Can't access account, frustrating login issues 🤯",2026-01-05 21:51:08
C_5209,POST_0003,user_183,"5. Customer service unresponsive, no help 😡",2026-01-05 21:51:08
C_9257,POST_0001,user_734,"1. ""Website crashed during checkout, lost my order 😡""",2026-01-05 21:51:42
C_9985,POST_0002,user_838,"2. ""Received broken items, never shopping here again 🤬""",2026-01-05 21:51:42
C_6773,POST_0003,user_693,"3. ""Shipping delayed twice, terrible customer service 😠""",2026-01-05 21:51:42
C_8692,POST_0003,user_340,"4. ""Lost in transit, no communication on status 🚫""",2026-01-05 21:51:42
C_5770,POST_0004,user_265,"5. ""Worst online shopping experience ever, refund now 💢""",2026-01-05 21:51:42
C_7357,POST_0002,user_615,1. Love the eco-friendly designs! ♻️,2026-01-05 22:00:02
C_6799,POST_0004,user_603,,2026-01-05 22:00:02
C_5642,POST_0004,user_730,2. Yeh toh #sustainablefashion hai! 👗,2026-01-05 22:00:02
C_7913,POST_0002,user_551,,2026-01-05 22:00:02
C_6751,POST_0004,user_567,3. Great to see more options for conscious consumers. 🌿,2026-01-05 22:00:02
C_9161,POST_0003,user_577,,2026-01-05 22:00:02
C_8884,POST_0001,user_975,4. The world needs more brands like this. 🙌,2026-01-05 22:00:02
C_8204,POST_0004,user_229,,2026-01-05 22:00:02
C_7593,POST_0001,user_893,5. Sustainable style for the win! 💚,2026-01-05 22:00:02
C_9936,POST_0002,user_587,,2026-01-05 22:00:02
C_6013,POST_0002,user_836,6. Kudos on promoting ethical fashion choices. 👏,2026-01-05 22:00:02
C_5369,POST_0001,user_569,,2026-01-05 22:00:02
C_5050,POST_0004,user_242,7. Wardrobe goals with a conscience. 🌎,2026-01-05 22:00:02
C_5551,POST_0002,user_733,,2026-01-05 22:00:02
C_8767,POST_0003,user_397,8. Time to switch to sustainable clothing options! 🌿,2026-01-05 22:00:02
C_5747,POST_0004,user_707,,2026-01-05 22:00:02
C_5246,POST_0003,user_528,9. Excited to support a brand making a positive impact. 🌟,2026-01-05 22:00:02
C_7642,POST_0001,user_635,,2026-01-05 22:00:02
C_7872,POST_0004,user_141,10. Can't wait to shop for guilt-free fashion! 💃,2026-01-05 22:00:02
C_8050,POST_0003,user_212,1. Love the eco-friendly styles! ♻️,2026-01-05 23:00:02
C_8498,POST_0002,user_916,2. Sustainable fashion goals! 🌿💚,2026-01-05 23:00:02
C_7958,POST_0004,user_157,3. Neutral colors are so versatile. 👌,2026-01-05 23:00:02
C_5411,POST_0002,user_486,"4. Comfy AND good for the earth? Yes, please! 🌍",2026-01-05 23:00:02
C_7626,POST_0001,user_804,5. These pieces will never go out of style. 👗🌟,2026-01-05 23:00:02
C_7369,POST_0003,user_905,1. Love the eco-friendly options! ♻️,2026-01-06 21:00:02
C_7457,POST_0002,user_157,2. Sustainable fashion at its best! 🌿,2026-01-06 21:00:02
C_5751,POST_0001,user_334,3. Great to see trendy styles that are also good for the environment. 👌,2026-01-06 21:00:02
C_5420,POST_0001,user_568,4. So cute and good for the Earth too! 🌎,2026-01-06 21:00:02
C_9289,POST_0002,user_720,"5. Finally, fashion that doesn't harm our planet. ✨",2026-01-06 21:00:02
C_8042,POST_0003,user_335,1. Website crash ruined my order! 😡,2026-01-07 23:28:04
C_5280,POST_0001,user_381,"2. Broken items received, unacceptable! 😤",2026-01-07 23:28:04
C_6648,POST_0004,user_272,3. Shipping delay caused major inconvenience. 🤬,2026-01-07 23:28:04
C_7237,POST_0002,user_430,"4. Unreliable service, never ordering again! 😠",2026-01-07 23:28:04
C_5196,POST_0003,user_317,"5. Frustrated with constant issues, disappointed. 😡",2026-01-07 23:28:04
C_6779,POST_0003,user_615,1. Website crashed while making purchase 😡,2026-01-07 23:36:27
C_8348,POST_0002,user_763,"2. Received broken items, no response from customer service 🚫😤",2026-01-07 23:36:27
C_5427,POST_0001,user_970,"3. Shipping delayed by weeks, no updates provided 📦🙄",2026-01-07 23:36:27
C_5109,POST_0004,user_516,"4. Unable to track order, website glitched out 👎🏻",2026-01-07 23:36:27
C_7153,POST_0003,user_830,5. Frustrated with lack of communication about order status 🤬📧,2026-01-07 23:36:27
C_5825,POST_0003,user_424,1. Website crash ruined my order! 😡,2026-01-07 23:36:40
C_9544,POST_0002,user_587,"2. Broken items received, unacceptable! 😡",2026-01-07 23:36:40
C_8131,POST_0004,user_503,3. Shipping delays causing frustration and inconvenience! 😡,2026-01-07 23:36:40
C_8653,POST_0001,user_255,"4. Unreliable service, disappointed with brand. 😡",2026-01-07 23:36:40
C_8251,POST_0002,user_910,"5. Poor customer experience, fix issues now! 😡",2026-01-07 23:36:40
C_9461,POST_0001,user_509,1. Love the eco-friendly fashion choices! 💚,2026-01-09 17:37:28
C_6834,POST_0004,user_801,2. Sustainable looks good on you! 👗,2026-01-09 17:37:28
C_7083,POST_0001,user_441,3. Khubsurat and sustainable! Keep it up. 🌿,2026-01-09 17:37:28
C_7634,POST_0001,user_954,4. Great to see sustainable options. 🌎,2026-01-09 17:37:28
C_5721,POST_0004,user_585,5. Stylish and sustainable - a winning combo! 🌟,2026-01-09 17:37:28
C_5638,POST_0003,user_495,1. Website crashed during checkout process 😡,2026-01-09 19:29:11
C_5009,POST_0004,user_254,"2. Received broken items, poor packaging 📦",2026-01-09 19:29:11
C_7867,POST_0004,user_878,3. Shipping delayed weeks without notice 😠,2026-01-09 19:29:11
C_9905,POST_0001,user_719,"4. Can't track order, customer service unresponsive 🚫",2026-01-09 19:29:11
C_5369,POST_0004,user_963,5. Frustrated with constant technical issues on site 🤬,2026-01-09 19:29:11
C_5644,POST_0002,user_292,1. Love the eco-friendly fabrics used in your collection! 💚,2026-01-09 20:00:01
C_9038,POST_0002,user_247,2. Great job promoting sustainability in fashion. Keep up the good work! 👏,2026-01-09 20:00:01
C_8164,POST_0004,user_655,3. Your designs are so chic and earth-friendly. Impressive! 🌿,2026-01-09 20:00:01
C_7667,POST_0003,user_957,4. This brand is setting a great example for other fashion companies. 👍,2026-01-09 20:00:01
C_8434,POST_0002,user_365,5. Awesome to see more sustainable options in the fashion industry. 👗,2026-01-09 20:00:01
C_6504,POST_0004,user_585,1. Love the eco-friendly options! 🌿,2026-01-09 21:00:02
C_8341,POST_0003,user_327,2. Great styles for conscious consumers. 👗,2026-01-09 21:00:02
C_7612,POST_0001,user_187,3. Sustainable fashion FTW! ♻️,2026-01-09 21:00:02
C_8182,POST_0002,user_651,"4. Need more size inclusivity, please. 🙏",2026-01-09 21:00:02
C_5324,POST_0001,user_437,5. Excited to see more ethical fashion choices. 🌍,2026-01-09 21:00:02
C_7288,POST_0002,user_895,1. Love your eco-friendly designs! 🌿,2026-01-17 16:00:04
C_8110,POST_0003,user_918,2. Your sustainable fashion inspires me to shop consciously. 🌎,2026-01-17 16:00:04
C_9709,POST_0004,user_863,"3. Bahut accha clothing brand hai, keep up the great work! 🌟",2026-01-17 16:00:04
C_9815,POST_0001,user_270,4. Excited to see more stylish sustainable options from you. ♻️,2026-01-17 16:00:04
C_6412,POST_0002,user_205,"5. Simple yet trendy, perfect for eco-conscious fashionistas! 🌿👗",2026-01-17 16:00:04
C_7573,POST_0004,user_853,1. Love the eco-friendly designs! 🌿,2026-01-17 17:00:03
C_7473,POST_0001,user_804,2. Sustainable fashion 4 lyfe 💚,2026-01-17 17:00:03
C_8008,POST_0002,user_814,3. Organic cotton is the best choice 🌱,2026-01-17 17:00:03
C_5173,POST_0002,user_446,4. Can't wait to rock these clothes! 🔥,2026-01-17 17:00:03
C_5600,POST_0004,user_588,5. Trendy and conscious clothing 🌍,2026-01-17 17:00:03
C_9243,POST_0004,user_397,"6. Reduce, reuse, recycle, look fabulous! ♻️",2026-01-17 17:00:03
C_7506,POST_0001,user_985,1. Love the eco-friendly fabrics used in your collection! 🌿,2026-01-18 19:00:02
C_7498,POST_0004,user_819,"2. Your designs are so chic and sustainable, perfect for conscious fashionistas! 💚",2026-01-18 19:00:02
C_7303,POST_0004,user_851,"3. Trendy yet environmentally friendly, keep up the good work! 🌎",2026-01-18 19:00:02
C_8660,POST_0001,user_611,4. Sustainable fashion at its best - proud to support brands like yours. 👏,2026-01-18 19:00:02
C_6935,POST_0003,user_120,5. Can't wait to shop more styles from your sustainable collection! ♻️,2026-01-18 19:00:02
